###################################################################################################
### CosmicWatch: The Desktop Muon Detector
### Device ID: Hertha Ayrton
### Launch time: 0:11:41 1/1/2019
### Questions? Email Spencer N. Axani (saxani@mit.edu)
### Event Time Date TimeStamp[ms] ADC1 ADC2 SiPM[mV] Temp[C] Pressure[Pa] DeadTime[us] Coincident ID
###################################################################################################
1	0:11:42	1/1/2019 	108	155.00	7.00	8.15	29.35	102407.02	47973	0	Hertha Ayrton	
2	0:11:42	1/1/2019 	402	951.00	205.00	45.90	29.35	102406.58	5944	1	Hertha Ayrton	
3	0:11:43	1/1/2019 	1651	647.00	10.00	14.78	29.36	102406.61	97785	0	Hertha Ayrton	
4	0:11:44	1/1/2019 	2227	168.00	7.00	8.50	29.36	102406.68	1849	0	Hertha Ayrton	
5	0:11:44	1/1/2019 	2329	167.00	7.00	8.48	29.36	102406.68	1850	0	Hertha Ayrton	
6	0:11:44	1/1/2019 	2335	90.00	7.00	6.34	29.36	102406.68	1849	0	Hertha Ayrton	
7	0:11:44	1/1/2019 	2382	960.00	285.00	54.73	29.36	102406.68	1849	0	Hertha Ayrton	
8	0:11:44	1/1/2019 	2559	82.00	7.00	6.17	29.37	102406.97	51805	0	Hertha Ayrton	
9	0:11:45	1/1/2019 	3150	620.00	10.00	14.48	29.37	102406.70	1849	0	Hertha Ayrton	
10	0:11:45	1/1/2019 	3257	179.00	7.00	8.79	29.37	102406.70	1850	0	Hertha Ayrton	
11	0:11:45	1/1/2019 	3309	78.00	8.00	6.10	29.37	102406.70	1848	0	Hertha Ayrton	
12	0:11:45	1/1/2019 	3420	441.00	8.00	12.42	29.37	102406.70	1848	0	Hertha Ayrton	
13	0:11:46	1/1/2019 	4217	909.00	128.00	35.42	29.38	102406.93	49818	1	Hertha Ayrton	
14	0:11:46	1/1/2019 	4223	105.00	7.00	6.72	29.38	102406.93	3890	0	Hertha Ayrton	
15	0:11:46	1/1/2019 	4322	679.00	16.00	16.67	29.38	102406.93	1850	0	Hertha Ayrton	
